0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
CYP24A1,1943.0,4182.0,1527.0,119.0,1226.0,6737.0,872.0,3243.0,383.0,2427.0,3577.0,2449.0,3139.0,1977.0,2684.0,2519.0,3287.0,3702.0,2949.0,2639.0,6277.0,769.0,0.0,1776.0,4493.0,110.0,409.0,722.0,318.0,370.0,184.0,266.0,0.0,20.0,4.0,0.0,2.0,0.0,12499.0,3502.0,3514.0,2697.0
SNAI2,1.0,7.0,0.0,0.0,0.0,12.0,1.0,2.0,2.0,8.0,10.0,12.0,14.0,13.0,11.0,12.0,6.0,6.0,2.0,3.0,5.0,0.0,0.0,8.0,5.0,0.0,1.0,2.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,10.0,3.0,10.0
CD74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,469.0,118.0,136.0,159.0
HGF,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,2.0,1.0
MNAT1,95.0,251.88,64.0,10.0,61.0,386.0,132.0,298.0,32.0,134.0,327.0,245.0,258.0,209.0,214.0,171.0,291.0,264.0,270.0,187.0,231.0,34.0,0.0,113.0,201.0,4.0,67.0,105.0,56.0,36.0,12.0,36.0,0.0,8.0,7.0,32.0,75.0,24.0,777.0,284.0,272.0,259.0
SAMD4A,20.0,46.0,23.0,2.0,21.0,89.0,6.0,56.0,36.0,266.0,61.0,77.0,129.0,68.0,95.0,85.0,72.0,68.0,47.0,78.0,83.0,12.0,0.0,43.0,123.0,0.0,2.0,10.0,12.0,72.0,25.0,91.0,0.0,48.0,39.0,159.0,197.0,79.0,340.0,67.0,81.0,279.0
RUNX3,30.0,38.0,11.0,0.0,8.0,39.0,1.0,23.0,4.0,13.0,15.0,38.0,49.0,17.0,28.0,53.0,69.0,51.0,24.0,46.0,39.0,11.0,0.0,17.0,29.0,2.0,0.0,2.0,0.0,37.0,18.0,33.0,0.0,14.0,9.0,1.0,3.0,0.0,186.0,35.0,55.0,25.0
SERPINB1,368.0,951.0,412.0,33.0,358.0,1419.0,267.0,905.0,155.0,801.0,899.0,872.0,936.0,478.0,756.0,550.0,933.0,1142.0,1067.0,899.0,834.0,144.0,0.0,221.0,467.0,12.0,53.0,79.0,43.0,64.0,33.0,53.0,0.0,13.0,6.0,4.0,5.0,1.0,6875.0,2141.0,1888.0,1365.0
SPAST,86.0,163.0,57.0,7.0,53.0,319.0,97.0,210.0,35.0,235.0,235.0,193.0,292.0,168.0,196.0,140.0,187.0,262.91,218.0,220.0,188.0,17.0,0.0,96.0,165.0,5.0,61.0,91.0,47.0,57.0,26.0,61.0,0.0,11.0,12.0,16.0,10.0,2.0,727.0,196.0,172.0,240.0
NLRP2,246.0,485.0,234.0,21.0,128.0,754.0,82.0,371.0,77.0,574.0,448.0,651.0,728.0,366.0,405.0,512.0,657.0,595.0,514.0,598.0,634.0,101.0,0.0,231.0,497.0,10.0,8.0,44.0,18.0,157.98,93.0,105.0,0.0,20.0,12.0,8.88,12.0,2.0,2524.0,492.0,619.0,588.0
RB1CC1,147.0,363.0,130.0,13.0,114.0,661.0,142.0,445.0,77.0,344.0,424.0,309.0,474.0,396.0,264.0,298.0,400.0,626.0,522.0,551.0,495.0,51.0,0.0,224.0,407.0,18.0,107.0,359.0,177.0,233.0,158.0,255.0,0.0,167.0,125.0,497.0,565.0,198.0,1570.0,499.0,410.0,470.0
ERP44,286.0,719.0,321.0,34.0,271.0,1119.0,244.0,616.0,124.0,612.0,717.0,535.0,628.0,438.0,597.0,405.0,739.0,738.0,678.0,529.0,669.0,94.0,0.0,258.0,442.0,8.0,56.0,113.0,62.0,64.0,28.0,62.0,0.0,20.0,10.0,18.0,51.0,20.0,3828.0,1294.0,1103.0,907.0
BIRC3,80.0,196.0,106.0,3.0,51.0,445.0,129.0,434.0,422.0,2184.0,457.0,221.0,355.0,328.0,133.0,138.0,228.0,144.0,124.0,109.0,178.0,31.0,0.0,127.0,209.0,3.0,71.0,272.0,119.0,566.0,398.0,649.0,0.0,399.0,222.0,268.0,382.0,153.0,3398.49,996.0,920.0,3378.0
ABCC2,1802.0,4007.0,1609.0,146.0,1168.0,7784.0,897.0,3883.0,400.0,2680.0,4473.0,3432.0,4773.0,3242.0,2827.0,3084.0,3774.0,5453.0,4640.0,5007.0,4058.0,533.0,0.0,1768.0,4053.0,97.0,231.0,789.0,213.0,1112.0,585.0,913.0,0.0,124.0,56.0,35.0,58.0,11.0,24143.0,5968.0,6347.0,3135.0
