0,1,2,3,4,5,6,7,8,9,10
PITX1,0.0,0.0,0.33,0.0,0.0,0.0,0.0,4.44,0.0,0.42
BCL3,70.85,28.07,43.17,29.08,29.68,31.66,72.63,47.05,83.63,18.94
MAOB,53.95,86.62,91.74,66.25,69.54,162.08,47.88,41.56,20.59,146.43
RORA,6.36,11.13,5.41,5.7,5.86,3.35,4.32,4.69,10.16,13.67
TGFBR3,3.32,2.28,5.17,2.36,3.77,3.28,3.39,2.29,4.72,1.09
HES2,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.89,0.0,0.0
ATP1B3,21.78,7.66,36.31,13.2,25.75,30.56,70.86,35.16,36.29,22.06
NEDD4,3.01,2.1,4.43,3.2,3.64,1.1,3.17,4.02,2.3,5.64
LRP6,9.06,8.19,3.63,7.42,9.08,5.9,7.52,8.27,13.2,5.0
POLB,15.76,17.41,16.48,25.0,27.24,21.45,29.32,12.72,11.88,86.32
ASNS,1.86,0.31,7.64,8.63,9.43,2.28,7.17,8.15,13.76,10.77
CDC42,38.22,34.79,103.61,82.26,60.77,54.0,72.86,95.0,61.53,87.37
ATP2B1,5.49,3.69,4.67,5.3,4.63,4.45,6.18,7.84,7.46,4.26
TCF3,4.69,3.85,14.5,7.36,8.63,7.26,12.74,11.45,9.18,14.34
TRIB2,4.12,3.65,5.97,9.68,6.76,12.31,12.2,5.48,7.91,7.34
HLTF,1.03,1.07,4.62,2.29,1.74,3.3,2.52,4.0,0.92,3.69
PDCD2,7.68,8.46,18.74,13.46,13.36,26.65,11.67,22.79,13.64,20.96
PRKACA,23.21,20.89,28.12,35.85,28.17,51.99,32.64,23.04,24.57,22.3
TFRC,6.18,3.3,13.08,6.35,9.02,15.48,9.4,7.86,7.39,17.29
SREBF1,24.29,31.7,18.56,32.64,48.68,17.39,44.93,38.57,27.17,16.3
NFATC3,3.48,2.59,4.53,4.76,5.13,7.18,3.87,4.46,2.12,4.28
MRVI1,0.87,0.16,1.17,0.96,0.33,0.66,1.9,1.59,1.32,0.29
