genename,ID_REF,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
sucA,eco_gcs1_t01809,2978.132479,2993.677715,2850.712527,3379.9987520000004,5901.446264,4335.209677000001,6082.142889,4206.096719,5067.227802,3822.264736,6304.06411,6987.651766,3550.17815,4563.189633,4245.987463,3818.1167060000002,3103.3473670000003,3368.032855,4148.607896,3666.1860880000004,3897.944301,2730.9672140000002,3403.797675,4088.3144090000005
sucB,eco_gcs1_t01810,59491.36678,41356.08492,45427.93939,51668.23708,98021.6068,77758.39963,101138.5186,55975.134229999996,137884.3445,95886.83536,102687.4411,144959.3288,46577.43815,56368.14329,62846.73412000001,60139.968270000005,41252.58639,52546.97417,55711.342789999995,53530.61406,53989.90602,36609.6932,43573.24884,60670.617510000004
sucC,eco_gcs1_t01811,2671.922169,2156.0361399999997,2245.7789559999997,2912.143246,4281.46264,3404.0395719999997,4366.851544,3107.957443,3651.555085,2741.1912239999997,4294.790261,4211.738418999999,2599.368093,2914.078941,2825.1728780000003,2678.0927,2142.41085,2419.0233350000003,3248.054166,2853.359214,2984.4914559999997,2245.450188,2536.4552519999997,2849.333357
sucD,eco_gcs1_t01813,4252.05555,4063.4441869999996,4659.42007,4655.735315,7375.923898,5819.8973399999995,7663.848056999999,4994.788756,7042.555051,5761.205325,7756.926245000001,9504.903951,4260.677871,4757.243673,6155.272331,5093.780677000001,4574.234397,4488.733402000001,6737.4620780000005,4980.628834,6137.613443,4532.649072,5477.273175,5979.9537869999995
tap,eco_gcs1_t05084,2603.3442210000003,2394.297573,1860.433553,1881.5690280000001,2268.102731,1658.1279869999998,1884.606007,1032.076771,2853.533555,2004.3040399999998,3010.31434,3151.795098,3622.276422,3564.7786520000004,3418.592536,2991.707008,2700.771248,2374.9367780000002,3284.4418769999997,3362.7257280000003,3177.245409,2521.287066,3013.12557,2040.5666670000003
tar,eco_gcs1_t05086,1799.809332,1711.054598,1640.275173,1354.4185009999999,1459.1880230000002,1018.51847,1210.384045,731.7895787,1752.488731,1429.820661,1624.810498,1833.9538059999998,2665.44684,2522.500812,2437.820553,2264.813005,1855.2231199999999,1899.49773,2097.7897629999998,2737.0259690000003,2283.57811,1797.022313,2174.47358,1542.734474
tdcB,eco_gcs1_t08262,3.144187439,3.642606921,3.043407634,2.9815308380000003,3.5191156039999996,1.824445706,3.004256472,5.331104782,3.129103892,3.9567384480000003,2.047145237,3.201356095,3.357333288,3.450579832,3.2326325660000004,4.3872829630000005,2.166487839,5.771463015,3.574932167,3.549254222,3.2639293680000003,9.257110384,4.076295634,9.589174053999999
tdcC,eco_gcs1_t08259,26.26488366,17.64372579,17.89910049,20.46821242,37.5980273,29.89633842,40.15547663,40.27975663,31.28942069,39.06823288,32.43193434,43.7431111,14.76815465,19.47668995,17.15176226,18.46025538,16.34178912,15.67335316,16.09271043,16.26771136,17.72392072,24.24037947,15.27803279,8.772062368
thrA,eco_gcs1_t00005,5865.332515,5711.2655079999995,4656.946304,4687.698963,5746.059328,4567.226042,5755.999948,4219.745288,5642.981967000001,3621.3488009999996,5330.767822999999,6087.522873,5765.867902,6051.962102,6421.816864,5219.5916,5178.18865,4880.470803,6208.913205,5718.415384,5942.01079,4244.717861,5690.686953,6399.3543039999995
trmD,eco_gcs1_t07005,62605.50755,34812.81679,41650.29137,59990.5653,116528.8983,91893.23732,120679.4091,83191.85734,140304.1583,131008.4995,138011.677,150968.1292,32545.23667,37292.681019999996,38332.14698,31408.70952,37168.393169999996,36937.91176,37984.80482,44300.313460000005,43110.566139999995,33765.89363,40246.979530000004,42860.17366
ompW,eco_gcs1_t03224,7.68613846,7.8924164160000005,8.194219551,13.789014499999999,11.44360625,22.29495576,12.35801206,20.68417933,10.92960896,31.64436807,24.66283648,12.63837702,13.50806783,18.94487425,15.7503139,20.36657512,22.76291155,13.68669237,15.37367082,6.07807805,11.21953423,9.472433638,7.177903871,13.49430675
hyfA,eco_gcs1_t11880,7.492078671,3.4191061560000002,3.941993977,6.1045789379999995,3.214561181,3.586529617,5.335618869,17.59675288,5.2328139469999995,2.3890567209999998,2.833433847,3.167117877,3.285358881,5.153532677,3.125502607,11.30790849,2.168214456,7.775449902,2.152020046,5.816827803,3.2875448510000003,13.75099777,3.507316312,9.372498098
rimM,eco_gcs1_t07006,36057.208119999996,23308.60877,24269.1909,39348.09103,81243.19392,65922.75405,77560.00117,56775.623329999995,97255.55933999999,92159.36039,98406.63924,109860.0674,19960.71614,20696.04198,24317.054519999998,18110.44353,22034.615130000002,22602.49073,25865.32319,25285.247000000003,26746.75744,19290.09705,28092.7958,28691.67773
tdcD,eco_gcs1_t08254,32.83589673,22.40043189,24.82537069,35.14390606,42.50328644,31.74799762,42.96390684,32.17417622,31.96571325,28.25398441,41.04778563,40.64340753,40.21102721,49.03858276,51.84191539,45.28410047,39.43036398,36.6849951,44.29887575,30.91240729,31.88550264,33.54108431,39.64774252,24.1845943
garK,eco_gcs1_t08283,10.82919161,12.03446711,15.88925975,15.68844995,13.603923000000002,15.28681748,16.05960932,16.98941618,16.16514489,19.13416043,14.42134884,12.85450433,13.71155069,15.06284445,12.54131794,13.4289336,11.83312087,15.2548324,12.09618431,12.89931564,15.11560498,19.90063309,8.523923261,11.13025436
garR,eco_gcs1_t08287,65.43726535,49.5591817,67.02909917,60.30220416,87.07707546,108.7213968,99.34586502,102.2565713,132.0661679,163.9647079,140.2189476,118.10251240000001,52.65283778,58.22469364,76.65693668,55.68597882,76.425815,60.94630373,60.24866304,53.22752923,63.72622239999999,61.27419706,56.42026215,55.02383214
dcuA,eco_gcs1_t10824,10000.19003,10462.30033,10168.88975,8718.833193999999,10836.78598,10331.0483,10661.29443,8002.5013340000005,12125.28078,10045.89225,12770.89197,13746.05829,11322.1741,10923.49435,13914.51637,10121.70255,9271.868247,9358.430151,9240.953951000001,11007.39134,10050.2033,8804.192631,13017.78711,16358.432659999999
fdnG,eco_gcs1_t03874,3.103113782,4.664859955,2.822106385,4.661518525,3.192365666,2.424460275,5.1787523460000005,9.535430672,4.522919913,5.035224315,3.2523373889999996,3.2297336469999998,3.3366690689999996,2.759232738,3.9092960480000003,3.285175958,2.022340738,3.7029679310000003,3.4003879919999997,3.90691568,3.529087679,7.9308128579999995,4.262306884,11.30152347
fdnH,eco_gcs1_t03878,9.248039747,8.005837516,6.50779512,8.292990057,5.0140730510000004,9.216152241,6.402327013,17.50849705,15.630776699999998,19.02042883,10.0468005,8.426782945,5.209202919,8.211687721,7.466995571,7.8837337960000005,7.1493025679999995,13.08165133,6.452926912000001,3.90537975,7.489331373,19.32367148,8.324667658,8.171705053
