0,1,2,3,4,5,6,7,8,9,10
MAP2K4,159.0,271.0,354.0,305.0,269.0,906.0,286.0,174.0,184.0,293.0
GSTO2,43.0,22.0,223.0,93.0,59.0,120.0,69.0,129.0,61.0,64.0
PRKCQ,7.0,1.0,73.0,36.0,41.0,4.0,41.0,11.0,34.0,38.0
ME1,42.0,130.0,392.0,129.0,44.0,327.0,76.0,460.0,55.0,1088.0
YBX1,1745.64,1985.56,4754.28,2963.29,1786.45,6291.6,3099.09,5371.49,1298.06,3728.18
ELAVL1,248.0,352.0,561.0,428.0,369.0,912.0,442.0,428.0,244.0,1057.0
NFYC,432.0,336.0,571.0,505.97,387.85,865.0,443.49,503.0,282.0,687.0
SLC9A3,18.98,18.04,37.2,35.69,21.22,58.82,19.06,23.84,8.75,60.77
ASPM,17.0,21.0,149.0,48.0,36.0,85.0,20.0,716.0,9.0,581.0
SPI1,105.0,44.0,203.0,364.0,124.0,71.0,258.0,224.0,112.0,115.0
ZNRD1,81.95,70.0,107.27,73.0,114.0,116.47,131.77,184.93,81.0,200.68
PFKP,43.0,5.0,152.0,205.0,81.0,92.0,218.0,70.0,255.0,76.0
SP100,973.1,933.39,1375.17,2109.16,1357.67,947.35,1140.61,795.97,852.93,795.11
KLF6,16003.0,8275.0,4541.0,4514.0,4207.0,1647.0,5963.0,1877.0,7371.0,3751.0
PKM,289.0,125.0,1059.0,903.0,521.0,4044.0,1416.0,2136.0,830.0,1100.0
TP53BP1,179.86,126.53,232.61,282.19,191.84,327.36,367.93,308.7,226.37,332.36
RHOA,1785.0,1494.0,4555.0,2999.0,1994.0,2896.0,2865.0,3376.0,1343.0,3588.0
CBFB,138.0,106.0,264.0,222.0,199.0,178.0,292.0,228.0,231.0,234.0
HDAC4,64.0,56.0,97.0,112.0,96.0,111.0,69.0,141.0,84.0,79.0
RASSF1,198.25,87.38,267.95,252.9,244.24,117.51,336.82,386.04,258.0,178.28
FGFR3,590.0,712.0,1340.0,1460.0,1890.0,457.0,1469.0,3101.0,1277.0,358.0
MEF2A,435.25,410.24,509.24,733.95,455.97,340.98,448.77,399.19,317.22,538.98
ACSL4,175.0,225.0,1204.0,2843.0,245.0,806.0,604.0,2147.0,113.0,392.0
POLR1A,73.0,125.0,326.0,197.0,220.0,573.0,208.0,525.0,185.0,374.0
SIRT2,480.0,454.0,527.0,689.0,378.0,1157.0,573.0,478.0,620.0,724.0
PITX1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,119.0,0.0,5.0
BCL3,817.0,443.0,800.0,379.0,503.0,656.0,1216.0,646.0,919.0,414.0
MAOB,1805.0,3210.0,3390.0,2237.0,2289.0,7056.0,1666.0,1354.0,593.0,5786.0
RORA,574.0,735.0,553.0,459.0,475.0,191.0,356.0,373.0,526.0,1200.0
TGFBR3,287.0,219.0,479.0,207.0,321.0,369.0,304.0,193.0,354.0,85.0
HES2,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0
ATP1B3,253.0,76.0,540.0,162.0,293.0,570.0,897.0,383.0,365.0,400.0
NEDD4,226.0,163.0,356.0,238.0,243.0,83.0,219.0,310.0,135.0,486.0
LRP6,930.0,1138.0,513.0,509.0,733.0,410.0,797.0,884.0,682.0,644.0
POLB,139.0,186.0,173.0,224.0,220.0,336.0,285.0,112.0,87.0,1039.0
ASNS,35.85,6.7,128.98,142.2,145.7,49.63,149.98,160.74,190.46,257.54
CDC42,1153.0,1163.0,3329.0,2465.99,1785.0,2039.99,2212.99,2742.0,1684.0,3033.0
ATP2B1,365.0,292.0,331.0,377.0,369.0,473.0,482.0,625.0,498.0,446.0
TCF3,108.0,105.0,308.0,166.0,156.0,252.0,240.0,259.0,171.0,309.0
TRIB2,148.0,143.0,224.0,357.0,225.0,552.0,420.0,168.0,242.0,241.0
HLTF,74.0,85.0,309.0,166.0,123.0,272.0,137.0,278.0,57.0,250.0
PDCD2,184.0,226.0,372.0,305.0,246.0,631.0,319.0,460.0,257.0,481.0
PRKACA,780.0,808.0,1051.0,1251.0,950.0,2250.0,1153.0,766.0,698.0,912.0
TFRC,282.0,222.0,829.0,272.0,402.0,1284.0,409.0,434.0,299.0,1193.0
SREBF1,801.28,1251.66,694.7,1107.4,1600.14,869.76,1540.67,1312.63,677.13,622.05
NFATC3,218.28,185.17,300.35,287.29,299.55,686.2,243.57,231.02,114.47,386.38
MRVI1,69.0,14.0,102.0,75.0,26.0,66.0,156.0,122.0,90.0,27.0
PVR,947.68,279.26,756.58,752.47,740.22,838.03,892.61,547.77,914.73,3172.59
XRCC1,90.0,56.0,159.0,195.0,104.0,363.0,133.0,223.0,102.0,339.0
SCARB1,1490.0,2021.0,1072.0,2486.0,2050.0,12852.0,2848.0,2927.0,786.0,4229.0
MCM2,5.19,17.0,115.52,65.0,47.51,155.0,84.0,409.96,22.0,312.43
TP63,1.0,0.0,10.0,3.0,6.0,4.0,5.0,0.0,5.0,5.0
ABCB11,3735.0,2354.0,2870.0,3928.0,2864.0,1671.0,1334.0,891.0,2286.0,4230.0
PTGS2,66.0,16.0,56.0,57.0,48.0,5.0,243.0,34.0,49.0,10.0
TBX21,9.0,3.0,41.0,56.0,60.0,5.0,24.0,10.0,55.0,30.0
GLI2,16.0,2.0,42.0,46.0,21.0,11.0,99.0,30.0,146.0,2.0
NOTCH3,104.0,54.0,603.0,171.0,133.0,659.0,501.0,1017.0,402.0,427.0
TEAD2,23.39,14.21,178.82,92.03,60.72,200.0,127.1,241.0,77.9,27.59
TSG101,182.43,222.0,414.0,409.0,251.0,892.0,382.0,428.0,150.0,530.0
ATP2A3,109.0,50.0,555.0,553.0,501.0,47.0,646.0,245.0,499.0,151.0
SCARF1,146.0,117.0,126.0,342.0,263.0,172.0,186.0,113.0,219.0,114.0
ENO1,2609.0,2894.0,3600.0,3840.0,2946.0,9795.0,4636.0,7501.0,2313.0,7433.0
KCNQ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTSE1,4.0,6.0,40.0,20.0,12.0,53.0,14.0,328.0,13.0,73.0
ACAT1,3682.0,5759.0,2003.0,2775.0,2948.0,2371.0,3832.0,2365.24,800.0,2492.0
WNT8B,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FGF4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9279.0,1.0,0.0
