0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TNFRSF17,0.5,0.26,34.37,0.88,0.62,6.14,3.49,0.6,2.16,0.31,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMO3,10.91,1.21,14.26,4.96,0.84,0.39,1.2,0.22,0.02,0.26,3.12,0.04,6.26,0.43,2.49,0.77,0.58,0.42,0.0,0.05,0.44,0.5,2.88,0.0
RSF1,223.05,102.3,130.05,166.08,179.24,731.23,211.26,28.81,21.18,18.42,54.64,54.17,22.2,43.08,74.05,55.59,31.72,269.89,69.44,55.18,17.06,55.87,91.27,98.77
PER3,1.34,3.03,1.49,7.22,1.6,3.4,1.04,0.76,1.09,1.41,2.31,1.19,1.99,0.82,1.27,1.35,0.59,1.94,1.37,0.54,1.41,2.37,0.25,1.44
LTBP1,11.75,5.35,11.89,14.74,8.0,18.2,50.99,0.5,4.74,4.32,1.85,6.85,3.14,43.34,18.44,14.49,0.91,11.75,20.3,0.65,21.39,9.72,8.61,14.85
NEDD4L,18.47,59.53,1.43,24.73,3.35,18.11,4.53,3.51,2.77,3.1,7.74,2.98,27.67,9.06,53.42,24.99,48.0,19.93,24.65,19.68,26.49,36.51,41.92,28.26
FOXP3,0.24,0.36,0.92,0.94,0.55,1.41,1.38,0.05,0.17,0.05,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.14,0.0,0.0,0.02,0.0
DKK3,5.98,10.34,7.76,21.58,15.56,24.92,40.34,0.82,5.72,3.22,4.21,14.52,1.77,0.68,169.71,0.71,0.42,1.14,0.0,0.0,0.26,0.0,7.47,0.0
MAPK9,2.53,9.77,2.76,2.3,2.92,3.49,2.35,1.97,1.18,1.41,1.69,2.06,3.52,17.79,6.2,3.24,11.27,3.57,5.8,7.05,11.68,7.98,7.09,4.8
BCAR1,0.99,0.85,2.35,6.22,0.62,1.2,0.95,0.1,0.06,0.05,0.05,0.22,0.13,0.39,1.27,0.21,0.04,0.22,0.19,1.9,0.1,3.21,3.11,0.72
RAD51,5.52,2.74,7.32,1.43,4.71,4.28,2.79,0.58,0.54,0.35,0.34,0.41,2.02,4.12,1.29,8.03,2.31,6.42,0.67,0.26,0.69,0.16,3.73,0.0
PIK3CB,5.36,7.79,3.86,7.24,0.91,5.61,3.65,1.67,1.34,1.72,2.27,2.74,10.46,10.31,12.67,5.27,3.75,4.35,4.47,6.9,9.86,6.11,4.67,5.84
LAMA3,1.13,40.99,1.38,16.02,0.73,0.42,3.03,0.88,1.11,0.72,2.5,0.5,0.07,0.75,15.29,2.59,0.52,0.99,2.16,6.86,0.98,3.2,8.62,0.0
ANAPC4,12.56,11.88,5.92,8.71,3.09,4.62,4.7,2.92,3.71,3.53,4.92,7.91,10.21,13.19,4.74,5.67,5.37,3.52,5.58,5.38,6.5,4.32,3.86,10.69
FOXC1,13.08,0.53,6.45,2.29,0.17,0.22,0.35,0.06,0.75,0.53,2.01,0.36,9.01,0.94,10.13,4.15,0.67,1.37,1.55,0.0,0.05,0.01,2.57,0.24
CYFIP2,10.85,14.24,8.04,29.26,22.88,24.84,13.69,2.99,1.82,2.26,1.73,9.76,2.58,25.74,5.06,1.35,17.93,4.22,6.17,13.57,0.34,8.31,8.0,11.32
EIF2AK2,24.75,13.27,10.98,10.73,8.21,25.22,10.11,8.75,17.13,4.76,6.41,6.84,18.2,8.49,11.15,9.91,3.83,10.13,4.14,9.79,16.99,11.84,13.13,13.09
TRAF1,0.96,0.73,2.12,2.14,0.44,1.4,0.94,0.13,0.29,0.1,0.26,0.36,0.42,0.12,1.34,0.0,0.03,0.0,0.0,0.0,0.12,2.14,0.9,0.52
TRAF3IP2,19.38,19.08,20.48,18.15,15.51,10.08,23.95,2.65,4.39,16.12,10.45,6.05,6.13,33.18,36.77,19.43,9.71,16.98,37.63,2.05,7.63,17.02,16.34,19.39
DCBLD2,9.27,8.08,3.08,6.95,3.11,3.04,5.61,1.3,1.86,1.37,1.87,2.05,36.48,4.3,4.6,5.23,1.93,1.16,13.79,4.32,0.0,1.57,14.53,2.61
PRDM1,0.49,1.99,3.61,7.41,1.54,2.42,3.18,3.13,6.26,13.93,3.32,6.64,1.61,0.73,1.89,1.39,0.11,0.23,2.44,0.0,0.22,0.05,5.17,0.0
ATG5,34.0,27.47,24.48,20.49,21.43,10.04,24.67,5.6,5.61,6.97,8.98,14.15,38.42,9.12,16.34,27.65,20.66,15.2,35.54,16.81,14.25,7.48,26.35,15.55
MTA3,38.57,32.12,29.08,11.1,37.03,42.02,29.32,9.81,6.97,10.98,13.67,17.95,30.07,52.32,44.68,14.47,53.79,28.92,45.22,25.42,35.65,30.26,33.27,38.6
DGKG,0.51,0.43,0.89,1.37,1.22,1.47,0.43,0.49,0.53,0.14,0.16,0.25,1.03,0.0,0.88,0.44,0.05,0.0,0.0,0.65,0.0,0.0,0.0,0.01
