genename,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
aaeX,31.45283803,29.38493787,32.11870745,26.66702743,28.36913459,26.89336823,27.83420554,55.29091212,31.60730261,36.61410428,43.57879115,28.86452753,24.44839843,25.55731946,26.82034111,43.95473822,31.70071912,28.37633689,31.80611474,38.67612737,24.34983752,23.14958614,23.3358246,41.09329351
frlB,9.675668233,5.877957072,10.12731774,6.210954635,7.457208549,5.942012059,6.775781827,16.25200584,7.51433432,20.19785928,9.585904237,9.592982229,3.991244812,12.20670545,6.468467791,9.717240408,11.12027573,9.625745613,6.176318184,21.25359125,5.564705083,8.13202945,11.4876915,9.78210434
frlC,7.986267347,5.133664395,4.619159188,4.784475434,5.395854477,6.892781877,6.091095408,12.36906086,8.546008263,8.198514647,8.021909246,8.655203299,4.366439962,3.624403959,5.551909739,7.151654156,7.44303152,13.30399591,5.080741998,16.24163343,5.158026744,5.51112007,8.908104179,4.309503149
frlD,23.95614105,16.53510663,15.12551384,18.04251053,17.12561296,18.18281461,21.33011984,27.05620673,15.28098045,26.64970633,26.4509191,23.95712405,18.37447242,14.32829712,19.25622031,32.1250514,26.11567578,21.56173061,16.10141358,45.15899897,18.14023928,20.34356496,28.68701291,18.90160652
ulaA,12.37149272,9.069641177,10.0806279,8.772101819,10.3576061,8.710506248,10.16938737,17.35570963,10.90138497,9.995684129,18.27438126,6.164219845,4.388119624,5.821343041,7.157652178,11.55178634,8.4137814,10.02486914,5.774002438,12.99410634,8.662607469,8.68428498,10.57560647,9.710473574
ulaD,35.34847372,23.43646494,23.25823628,26.81259949,26.11659521,28.62690769,30.3646151,36.35733018,34.77051746,34.07849577,30.68048262,29.35567319,20.00859113,18.77754549,23.88912316,34.90449387,29.20701989,29.02139718,26.303713,33.78051006,29.76545615,28.47504647,30.47178235,28.53029066
ulaE,60.23713871,59.73861351,54.45743063,53.37012983,52.39225988,61.98974713,80.46540839,59.46978404,58.57645604,56.92253907,55.69942825,54.5439215,47.52739616,58.30341688,60.71836112,75.68611916,52.13159414,53.18941462,52.26919886,69.91573093,52.97536073,60.83674861,71.21877536,60.34802587
ulaF,3.181803546,3.819392443,6.086528446,5.702890761,8.093174696,5.908069978,7.180629724,40.1577908,2.522728137,6.710959906,22.826297,6.505013222,8.877960357,3.922800413,7.720327349,4.214570894,3.402322827,4.606727074,6.331918361,8.314192352,5.237520383,5.154062763,4.952647711,5.093719245
ytfK,9.836578929,12.2656234,20.95688679,30.86605412,39.36896552,42.04513762,41.25108121,23.91943531,7.774101215,11.30024837,22.28567024,35.21485792,40.95079176,38.95695675,37.39208811,33.20944705,12.0724574,11.27175496,22.97266161,22.56352295,27.83080645,34.23148936,28.5368047,26.2304268
idnO,7.061882788,4.339595455,4.981880274,3.479532733,4.820674237,4.784875733,4.005355649,8.500552497,7.709278705,8.812921943,12.11600123,5.374320703,3.78955182,3.211428852,4.34913354,4.607726611,8.342439757,6.171874913,4.451982814,11.3518135,4.990659424,4.022255239,6.468025415,3.481325408
idnD,26.27153885,17.90894557,12.50840628,14.14540555,15.53555416,16.46459982,14.86213497,31.65536865,19.79972366,37.90770721,23.50472613,15.62420934,6.775507197,7.573676411,11.3111251,11.09478348,19.60161074,17.02859663,10.0614611,24.16913411,10.62513799,11.65704428,12.90432713,9.85638375
yjhG,46.62173787,19.83112762,20.10963465,23.51967843,24.1073145,27.67099587,26.00430193,35.88636207,25.83839105,20.69247887,23.37878877,26.06264021,26.91504557,22.53746617,29.51576262,36.2090665,29.25408515,31.59319247,23.31887238,36.53605754,28.32885024,24.08373663,28.14050084,35.38300116
yjhH,58.59065688,45.90277395,41.53031366,40.19593626,39.03200738,38.8406866,43.41517249,59.94845906,51.24418537,54.85352813,44.45996332,35.58097911,27.35892174,30.51415756,34.83249056,32.01553447,52.23442736,40.15481665,35.44536501,46.62358444,34.73929213,34.13797054,29.82604606,40.13873418
yjhI,1.656120437,2.019557769,2.168264615,1.953975728,1.37341124,1.483966176,1.122639104,1.879913854,1.598965582,0.910513777,0.946130365,1.710149796,2.177673618,3.455240054,1.401665766,1.808760883,1.55391185,1.76743131,2.020946191,1.635470451,1.854904547,1.416538481,1.908746808,1.723088851
sgcR,53.41976077,59.94488053,45.92063243,48.53386581,50.9240355,42.90236736,41.63636547,43.17751235,57.58784543,65.78997092,51.30787634,49.57814327,35.53686726,37.44585975,32.35077712,31.34775766,55.95526479,41.53218297,43.42738624,61.56205397,35.19640776,37.96698888,39.16591817,33.6019348
